word,count
in the,5562
and i,2809
on the,2651
you know,2359
i don't,2142
i know,2119
to the,2118
i got,1831
if you,1736
like a,1665
in my,1591
of the,1571
oh oh,1501
yeah yeah,1476
what you,1457
all the,1442
to be,1415
i was,1408
that i,1402
when i,1390
i can,1386
and the,1341
but i,1319
for the,1294
in a,1252
i want,1220
i just,1187
to me,1187
with the,1165
you can,1160
on my,1142
want to,1133
the way,1128
i can't,1118
let me,1117
if i,1110
for you,1095
i am,1094
i love,1086
and you,1080
when you,1076
you want,1074
love you,1060
got a,995
you got,982
i need,977
from the,975
me and,965
come on,962
that you,945
for me,940
with a,933
tell me,930
with you,930
you i,903
i wanna,899
this is,896
me i,870
do you,855
to you,851
in your,846
la la,836
to get,831
you and,829
i'm a,812
with me,799
what i,792
cause i,792
know that,792
i could,786
at the,780
out of,775
of my,773
the world,767
a little,763
it all,753
on a,744
you don't,738
all i,737
do it,726
don't know,722
no no,711
know i,705
to do,693
my heart,691
me to,684
so i,684
i feel,679
you are,679
da da,675
like the,674
know you,670
the one,666
up in,665
na na,664
make it,653
is the,642
i get,636
and i'm,636
all my,627
i will,624
you to,624
know what,621
my life,607
i do,604
got to,604
love me,599
and a,593
i ain't,591
i see,591
in love,587
for a,585
no more,585
you you,584
the same,582
i think,580
i'm not,578
on your,575
it was,569
don't you,569
but you,566
is a,565
i said,561
i like,560
make me,554
got the,552
now i,545
are you,545
baby baby,545
and my,544
used to,541
by the,539
up and,536
of a,534
i'm the,534
to see,532
to make,529
like you,528
back to,523
it up,522
i had,521
we can,521
be a,518
have to,518
i'll be,516
the only,516
you do,516
to go,515
be the,504
just a,502
take it,502
no one,493
i've been,492
just like,492
the night,492
me a,490
when the,490
i never,486
my name,485
through the,481
you see,480
you wanna,479
on me,477
give me,472
it to,471
try to,470
with my,469
oh yeah,468
your love,466
all of,465
it i,463
i'm gonna,461
in this,460
right now,460
get it,459
and we,458
don't want,455
see you,455
baby i,449
up the,447
i dont,444
my mind,443
out the,443
and then,439
the sky,438
to say,437
to my,436
i have,435
trying to,434
and if,432
you love,431
need to,429
the best,429
i gotta,423
of me,420
you say,419
was a,419
can you,419
like i,418
and they,415
hey hey,415
the sun,414
love is,410
oh i,410
look at,409
me you,409
you can't,409
gonna be,408
you think,404
i go,402
i wish,402
don't wanna,399
all night,397
feel like,395
call me,394
i would,392
yeah i,391
you just,387
take a,385
i guess,385
my love,385
up to,383
i say,383
you need,382
that we,380
let it,374
for my,374
she said,374
me what,373
and all,371
you a,371
want you,370
and when,370
way you,369
so much,369
of your,368
got me,367
tell you,365
me in,363
to love,361
the time,360
know how,359
time i,358
we are,358
make you,357
i won't,357
wanna be,356
you were,354
i'm so,354
just to,354
i'm on,353
see the,353
and it,351
on and,350
when i'm,350
need you,349
me baby,349
then i,349
you get,345
cause you,344
where the,344
do i,344
love i,344
me like,343
have a,343
i m,343
like that,342
show me,342
but the,341
you in,341
need a,339
you feel,338
go to,336
how you,336
had to,335
like to,335
give you,334
cause i'm,333
as i,333
you baby,333
had a,333
can i,332
the fuck,331
too much,331
you like,330
i i,330
love to,330
it in,328
you go,325
that i'm,324
i still,322
ain't no,320
to know,319
i aint,319
let you,318
i'm in,318
it out,318
me the,317
got it,315
it's a,314
time to,314
me now,314
keep on,314
i'm just,312
make a,312
on you,311
they say,308
there's a,308
got my,308
and he,308
down to,307
and it's,306
will be,305
it and,305
it on,304
and she,304
you better,303
love love,303
take me,302
it is,301
a man,300
get the,300
don't need,299
down the,298
when we,298
you make,297
me on,297
full of,296
how to,294
you so,294
now you,293
you gotta,293
every time,293
the door,293
more than,292
to take,291
you could,291
a lot,290
well i,290
you ain't,288
your eyes,288
up on,288
girl i,288
and now,287
my head,285
the whole,285
is it,285
but i'm,284
tryin to,284
like it,284
we got,283
want me,283
me i'm,282
the floor,282
give it,280
whoa whoa,280
i've got,279
get a,278
now i'm,278
see me,277
with your,277
am i,275
of you,275
it like,275
oh no,275
hit the,273
do what,271
only one,271
i be,270
we go,270
all right,269
how i,269
at all,269
it ain't,269
say it,268
you down,268
me down,268
me that,268
all that,268
it's all,267
i hope,267
is my,266
you the,266
i told,266
way to,264
up i,264
and your,264
your heart,264
what the,263
at me,263
want it,263
my baby,263
the end,262
oh baby,262
to a,260
the club,260
off the,260
let the,260
my way,260
me up,259
all you,259
when they,258
i swear,258
a new,257
of love,257
the things,257
be your,257
into the,255
and me,255
hard to,255
new york,255
it down,254
they don't,253
know it,253
you should,253
could be,253
you with,253
a girl,253
won't you,253
the day,252
your mind,252
baby you,251
a nigga,251
and i'll,250
a million,249
it you,249
where you,249
you all,249
the light,249
as a,248
say i,248
like me,247
he was,247
told me,246
like this,245
the air,244
man i,243
take my,242
she was,242
my eyes,241
get down,241
know the,240
about the,240
so hard,239
as the,238
my hand,238
to find,237
do is,236
come and,235
you i'm,235
and get,234
your body,234
a good,234
the game,233
in his,233
me but,232
i believe,232
why you,232
ah ah,232
im a,232
the back,231
i did,231
got that,231
to tell,229
i mean,229
think i,228
when you're,228
girl you,228
i thought,228
are the,228
so you,226
said i,225
you're the,225
me when,225
don t,225
like i'm,223
back in,223
the first,223
go and,223
when it,222
can be,222
down and,222
we could,221
one day,220
say you,220
wake up,220
talk to,220
there was,219
get on,219
what we,219
for your,219
nah nah,219
must be,218
you ever,218
come back,218
you have,218
can see,218
what i'm,218
you've got,218
my body,218
hold on,218
where i,217
about it,217
your face,217
the streets,217
feel it,216
my own,216
to your,216
that's what,215
of this,215
such a,215
me for,215
can do,214
you what,214
put your,214
on come,214
back and,213
here i,213
you never,213
the last,213
is that,213
i hear,213
you come,213
the morning,213
it's not,212
out to,212
way i,212
one more,212
to come,212
waiting for,211
get to,211
there is,211
i ever,211
you will,211
why i,211
on that,210
me so,209
love with,209
then you,208
the ground,208
up my,208
love and,208
kind of,208
you oh,208
we all,208
the music,207
get you,207
my soul,207
to all,207
going to,206
what they,206
should be,206
bout to,206
to give,205
in that,205
that shit,205
the other,205
don't care,205
all in,204
there's no,204
just want,204
be with,204
come to,204
the rain,204
your hands,203
the dark,203
for it,203
i really,202
without you,202
i cant,201
before i,200
looking for,200
you would,200
no i,199
don't stop,199
so good,199
what do,199
i knew,199
tried to,198
you but,198
if it,198
no matter,198
leave me,198
down in,198
show you,197
i put,197
got you,197
a big,197
you now,197
the man,197
the moon,196
love the,196
it feels,196
we were,196
have you,196
hold you,196
you nasty,196
la da,195
i keep,194
ain't got,194
i heard,194
ooh ooh,194
up with,193
if you're,193
can't be,193
you hear,193
did you,193
this shit,192
too late,192
not a,192
let's go,191
get up,191
the money,191
just can't,190
it's the,190
if we,190
take you,190
on this,190
miss you,190
a couple,189
yeah you,189
the truth,189
the road,189
when she,189
to keep,188
around the,188
get your,188
i miss,188
see i,188
all day,188
you gonna,188
uh uh,188
it s,188
me my,187
this time,187
the lights,187
take the,186
with no,186
feel the,186
my friends,186
oh you,186
down down,186
make the,186
life is,185
me if,185
a bad,185
me no,185
the street,185
a long,185
about to,184
i should,184
don't let,184
here we,183
told you,183
your name,183
you up,183
one of,181
when he,181
the right,181
get my,181
in her,181
next to,181
that you're,180
don't have,180
lot of,180
do the,180
you aint,180
sometimes i,179
it when,179
it's just,179
say that,179
who you,178
out my,177
that the,177
know i'm,177
tell em,177
name is,177
on fire,176
me cause,176
the sea,176
i used,176
gonna do,176
your life,176
eh eh,176
it i'm,175
go on,175
and this,174
you my,174
they know,174
got no,174
come in,174
you on,174
you be,173
from a,173
it just,173
in me,173
yes i,173
you that,173
the house,173
what it,172
long as,172
to have,172
is so,172
we don't,172
be my,172
my money,172
boy you,171
i been,171
hear me,171
it's like,171
me all,171
he said,171
as you,170
can make,170
i didn't,170
but it,170
to die,170
oh my,170
want a,170
she got,170
give a,169
all over,169
on it,169
love it,169
keep it,169
i hate,169
every day,169
it for,168
did it,168
and let,168
i came,168
i come,168
was the,168
is what,167
is you,167
each other,167
the top,167
i saw,167
please don't,167
that ass,167
my face,166
i make,166
in our,166
yeah oh,166
it don't,165
down on,165
about you,165
these niggas,165
the love,165
round and,165
it be,164
should i,164
the girl,164
boom boom,164
don't be,163
brand new,163
like my,163
ha ha,163
me oh,163
da la,163
hot boy,163
your ass,162
down i,162
i'm going,162
i live,162
with it,161
be there,161
you when,161
go down,161
and im,161
now and,160
me go,160
wait for,160
but if,159
time you,159
there ain't,159
me why,159
go i,158
night i,158
how many,157
the wind,157
that's why,157
know we,157
around and,157
baby don't,157
you're a,157
it get,157
it go,156
here to,156
would be,156
is this,156
all these,156
let go,156
over the,155
supposed to,155
would you,155
thought i,155
wanna see,155
but she,155
help me,155
we just,155
all your,155
it with,154
a way,154
me yeah,154
my girl,154
be so,153
went to,153
life i,153
think about,153
but we,153
not to,152
they got,152
you take,152
you're not,152
i remember,152
do that,152
your head,152
of all,152
wish i,152
thank you,151
not the,151
just the,151
it's too,151
the shit,151
you still,151
what is,151
go go,151
out and,150
i took,150
me with,150
stand up,150
you really,150
i might,150
ready to,149
you no,149
things that,149
at a,149
you let,149
wanna do,149
from me,148
that's the,148
you're my,148
dont know,148
there's nothing,148
be in,147
the wall,147
been a,147
where we,147
a bitch,147
a woman,147
hold me,147
but it's,146
on i,146
of us,146
i made,146
i look,146
put it,146
so long,146
out in,146
for all,146
one that,146
as long,145
fuck with,145
think you,145
me feel,145
me your,145
it baby,145
and make,144
see it,144
at my,144
you look,144
love that,144
than a,144
the new,144
to live,144
in it,143
to play,143
so many,143
to feel,142
that was,142
get out,142
the good,142
just wanna,142
through my,142
you said,141
up your,141
wants to,141
see what,141
to hold,141
